Slug,H1,Short Description,Meta Title,Meta Description
college-park,College Park-U of Md,Serving the University of Maryland & College Park.,College Park-U of Md: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals at College Park-U of Md Metro in College Park, MD. Real-time fares, MARC Camden Line, parking, and service alerts."
columbia-heights,Columbia Heights,"Serving Columbia Heights, Target & the 14th Street corridor.",Columbia Heights: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals for Columbia Heights Metro station in Washington, DC. Live train times, fares, elevator status, and service alerts."
congress-heights,Congress Heights,Serving the Congress Heights neighborhood in Southeast DC.,Congress Heights: Next Arrivals & Fares | NextMetro,"Live Green Line arrivals for Congress Heights Metro station in Southeast Washington, DC. Real-time train fares, elevator status, and service alerts."
court-house,Court House Metro Station,Orange & Silver Lines · Serving Courthouse & Arlington County.,Court House: Next Arrivals & Fares | NextMetro,"Orange and Silver Line arrivals for Court House Metro station in Arlington, VA. Fares, elevator status, and service alerts."
crystal-city,Crystal City Metro Station,Blue & Yellow Lines · Serving Crystal City & National Landing.,Crystal City: Next Arrivals & Fares | NextMetro,"Blue and Yellow Line arrivals for Crystal City Metro station in Arlington, VA. Fares, elevator status, and service alerts."
dca-national-airport,DCA–National Airport Metro Station,Blue & Yellow Lines · Serving National Airport (DCA) & National Landing.,DCA National Airport: Next Arrivals & Fares | NextMetro,"Blue and Yellow Line arrivals for DCA National Airport Metro station in Arlington, VA. Fares, elevator status, and service alerts."
deanwood,Deanwood,Servicing Deanwood & Kenilworth.,Deanwood: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for Deanwood Metro station in Washington, DC. Fares, elevator status, and alerts."
downtown-largo,Downtown Largo,Eastern terminus of the Blue and Silver lines in Prince George's County.,Downtown Largo: Next Arrivals & Fares | NextMetro,"Blue and Silver Line arrivals for Downtown Largo Metro station in Largo, MD. Check real-time fares, parking, elevator status, and alerts."
dunn-loring,Dunn Loring-Merrifield Metro Station,Orange Line · Serving Dunn Loring & Merrifield Town Center.,Dunn Loring: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for Dunn Loring-Merrifield Metro station in Dunn Loring, VA. Fares, elevator status, and service alerts."
dupont-circle,Dupont Circle,"Servicing Dupont Circle, Embassy Row & Kalorama.",Dupont Circle: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Dupont Circle Metro station in Washington, DC. Live train times, fares, elevator status, and alerts."
east-falls-church,East Falls Church Metro Station,Orange & Silver Lines · Serving East Falls Church.,East Falls Church: Next Arrivals & Fares | NextMetro,"Orange and Silver Line arrivals for East Falls Church Metro station in Falls Church, VA. Fares, elevator status, and service alerts."
eastern-market,Eastern Market,Servicing Eastern Market & Capitol Hill.,Eastern Market: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Eastern Market Metro station in DC. Fares, elevator status, and alerts."
eisenhower-ave,Eisenhower Avenue,Servicing Eisenhower Valley & the Eisenhower Avenue corridor.,Eisenhower Avenue: Next Arrivals & Fares | NextMetro,"Yellow Line arrivals for Eisenhower Avenue Metro station in Alexandria, VA. Fares, parking, elevator status, and alerts."
farragut-north,Farragut North,Servicing Farragut Square & K Street corridor.,Farragut North: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Farragut North Metro station in Washington, DC. Fares, elevator status, and service alerts."
farragut-west,Farragut West,Servicing Farragut Square & the World Bank.,Farragut West: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Farragut West Metro station in DC. Fares, elevator status, and alerts."
federal-center-sw,Federal Center SW,Servicing Federal Center SW & USDA headquarters.,Federal Center SW: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Federal Center SW Metro station in DC. Fares, elevator status, and alerts."
federal-triangle,Federal Triangle,Servicing the Federal Triangle & the National Archives.,Federal Triangle: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Federal Triangle Metro station in DC. Fares, elevator status, and alerts."
foggy-bottom,Foggy Bottom-GWU,"Servicing Foggy Bottom, George Washington University & the Kennedy Center.",Foggy Bottom-GWU: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Foggy Bottom-GWU Metro station in DC. Fares, elevator status, and alerts."
forest-glen,Forest Glen,Servicing Forest Glen & Holy Cross Hospital.,Forest Glen: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Forest Glen Metro station in Silver Spring, MD. Live train times, fares, elevator status, and alerts."
fort-totten,Fort Totten,Servicing Fort Totten & Lamond-Riggs. Transfer to Yellow and Green lines.,Fort Totten: Next Arrivals & Fares | NextMetro,"Red, Yellow, and Green Line arrivals for Fort Totten Metro station in Washington, DC. Fares, elevator status, and service alerts."
franconia-springfield,Franconia-Springfield,Servicing Franconia & Springfield. VRE & Amtrak connections.,Franconia-Springfield: Next Arrivals & Fares | NextMetro,"Blue Line arrivals for Franconia-Springfield Metro station in Springfield, VA. Fares, parking, elevator status, and alerts."
friendship-heights,Friendship Heights,Servicing Friendship Heights & Chevy Chase.,Friendship Heights: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Friendship Heights Metro station in Washington, DC. Fares, elevator status, and service alerts."
gallery-place,Gallery Pl-Chinatown,"Chinatown, Penn Quarter & Capital One Arena.",Gallery Place: Next Arrivals & Transfers | NextMetro,"Red, Green, and Yellow Line arrivals for Gallery Pl-Chinatown station in DC. Fares and service alerts."
georgia-ave-petworth,Georgia Ave-Petworth,Serving the Petworth neighborhood & Georgia Avenue corridor.,Georgia Ave-Petworth: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals for Georgia Ave-Petworth Metro station in Washington, DC. Live train times, fares, elevator status, and service alerts."
glenmont,Glenmont,Servicing Glenmont & the Layhill Road corridor.,Glenmont: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Glenmont Metro station in Wheaton, MD. Live train times, fares, parking, elevator status, and alerts."
greenbelt,Greenbelt,Northern terminus of the Green & Yellow Lines in Prince George's County.,Greenbelt: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals at Greenbelt Metro station, northern terminus in College Park, MD. Real-time fares, MARC Camden Line, and parking."
greensboro,Greensboro Metro Station,Silver Line · Serving Greensboro & the Tysons area.,Greensboro: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Greensboro Metro station in Tysons, VA. Fares, elevator status, and service alerts."
grosvenor-strathmore,Grosvenor-Strathmore,Servicing Grosvenor & the Strathmore music center.,Grosvenor-Strathmore: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Grosvenor-Strathmore Metro station in North Bethesda, MD. Fares, elevator status, and service alerts."
herndon,Herndon,Serving Downtown Herndon & the Worldgate Centre area,Herndon: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Herndon Metro station in Herndon, VA. Fares, elevator status, and service alerts."
huntington,Huntington,Southern terminus of the Yellow Line in Fairfax County.,Huntington: Next Arrivals & Fares | NextMetro,"Yellow Line arrivals for Huntington Metro station in Alexandria, VA. Fares, parking, elevator status, and alerts."
hyattsville-crossing,Hyattsville Crossing,"Serving Hyattsville, the Mall at Prince George's & University Town Center.",Hyattsville Crossing: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals for Hyattsville Crossing Metro in Hyattsville, MD. Real-time fares, parking details, elevator status, and alerts."
innovation-center,Innovation Center,Serving the Innovation Center & Centreville Road corridor.,Innovation Center: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Innovation Center Metro station in Herndon, VA. Fares, elevator status, and service alerts."
judiciary-square,Judiciary Square,Servicing Judiciary Square & the National Building Museum.,Judiciary Square: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Judiciary Square Metro station in Washington, DC. Live train times, fares, elevator status, and alerts."
king-street,King St-Old Town,Servicing Old Town Alexandria & King Street. Amtrak & VRE connections.,King St-Old Town: Next Arrivals & Fares | NextMetro,"Blue and Yellow Line arrivals for King St-Old Town Metro station in Alexandria, VA. Fares, parking, elevator status, and alerts."
landover,Landover,Servicing Landover & FedExField access.,Landover: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for Landover Metro station in Landover, MD. Fares, parking, elevator status, and alerts."
lenfant-plaza,L'Enfant Plaza,"Southwest Waterfront hub — Or, Bl, Sv, Gr & Yl Lines.",L'Enfant Plaza: Arrivals & Transfers | NextMetro,"Or, Bl, Sv, Gr, and Yl Line arrivals for L'Enfant Plaza in DC. Dual-platform boards, fares, and alerts."
loudoun-gateway,Loudoun Gateway Metro Station,Silver Line · Serving Loudoun Gateway & the Route 606 corridor.,Loudoun Gateway: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Loudoun Gateway Metro station in Ashburn, VA. Fares, elevator status, and service alerts."
mclean,McLean Metro Station,Silver Line · Serving McLean & Tysons East.,McLean: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for McLean Metro station in McLean, VA. Fares, elevator status, and service alerts."
mcpherson-square,McPherson Square,Servicing McPherson Square & Downtown DC.,McPherson Square: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for McPherson Square Metro station in DC. Fares, elevator status, and alerts."
medical-center,Medical Center,Servicing National Institutes of Health & Walter Reed.,Medical Center: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Medical Center Metro station in Bethesda, MD. Fares, elevator status, and service alerts."
metro-center,Metro Center,"Downtown DC's central hub — Red, Orange, Blue & Silver Lines.",Metro Center: Next Arrivals & Transfers | NextMetro,"Red, Orange, Blue, and Silver Line arrivals for Metro Center in downtown DC. Dual-platform boards, fares, and alerts."
minnesota-ave,Minnesota Ave,Servicing Minnesota Avenue & Deanwood.,Minnesota Ave: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for Minnesota Ave Metro station in Washington, DC. Fares, elevator status, and alerts."
morgan-boulevard,Morgan Boulevard,Servicing Morgan Boulevard & FedExField.,Morgan Boulevard: Next Arrivals & Fares | NextMetro,"Blue and Silver Line arrivals for Morgan Boulevard Metro station in Largo, MD. Fares, parking, elevator status, and alerts."
mt-vernon-sq,Mt Vernon Sq/7th St-Convention Center,"Serving the Convention Center, CityCenter & Chinatown.",Mt Vernon Sq: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals for Mt Vernon Sq Metro station in Washington, DC. Live train times, fares, elevator status, and service alerts nearby."
navy-yard-ballpark,Navy Yard-Ballpark,"Serving Nationals Park, The Yards & the Capitol Riverfront.",Navy Yard-Ballpark: Next Arrivals & Fares | NextMetro,"Live Green Line arrivals for Navy Yard-Ballpark Metro station near Nationals Park in Washington, DC. Real-time fares, elevator status, and alerts."
naylor-road,Naylor Road,Serving Temple Hills & southeast Prince George's County.,Naylor Road: Next Arrivals & Fares | NextMetro,"Green Line arrivals for Naylor Road Metro station in Temple Hills, MD. Real-time train fares, parking details, elevator status, and service alerts."
new-carrollton,New Carrollton,Servicing New Carrollton. Amtrak & MARC connections.,New Carrollton: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for New Carrollton Metro station in New Carrollton, MD. Fares, parking, elevator status, and alerts."
noma,NoMa-Gallaudet U,Servicing NoMa & Gallaudet University.,NoMa-Gallaudet U: Next Arrivals & Fares | NextMetro,"Red Line arrivals for NoMa-Gallaudet U Metro station in Washington, DC. Live train times, fares, elevator status, and alerts."
north-bethesda,North Bethesda-White Flint,"Servicing North Bethesda, Pike & Rose & White Flint.",North Bethesda: Next Arrivals & Fares | NextMetro,"Red Line arrivals for North Bethesda-White Flint Metro station in North Bethesda, MD. Fares, elevator status, and service alerts."
pentagon,Pentagon Metro Station,Blue & Yellow Lines · Serving the Pentagon & Pentagon Transit Center.,Pentagon: Next Arrivals & Fares | NextMetro,"Blue and Yellow Line arrivals for Pentagon Metro station in Arlington, VA. Fares, elevator status, and service alerts."
pentagon-city,Pentagon City Metro Station,Blue & Yellow Lines · Serving Pentagon City & the Fashion Centre.,Pentagon City: Next Arrivals & Fares | NextMetro,"Blue and Yellow Line arrivals for Pentagon City Metro station in Arlington, VA. Fares, elevator status, and service alerts."
potomac-ave,Potomac Ave,Servicing Potomac Avenue & Hill East.,Potomac Ave: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Potomac Ave Metro station in DC. Fares, elevator status, and alerts."
potomac-yard,Potomac Yard,"WMATA's newest station, servicing Potomac Yard & North Alexandria.",Potomac Yard: Next Arrivals & Fares | NextMetro,"Blue and Yellow Line arrivals for Potomac Yard Metro station in Alexandria, VA. Fares, elevator status, and service alerts."
reston-town-center,Reston Town Center,Servicing Reston Town Center.,Reston Town Center: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Reston Town Center Metro station in Reston, VA. Fares, elevator status, and service alerts."
rhode-island-ave,Rhode Island Ave-Brentwood,"Servicing Rhode Island Avenue, Brentwood & Woodridge.",Rhode Island Ave: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Rhode Island Ave-Brentwood Metro station in Washington, DC. Fares, elevator status, and service alerts."
rockville,Rockville,Servicing Downtown Rockville & Rockville Town Square.,Rockville: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Rockville Metro station in Rockville, MD. Fares, elevator status, and service alerts."
rosslyn,Rosslyn Metro Station,"Orange, Blue & Silver Lines · Serving Rosslyn & Georgetown.",Rosslyn: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Rosslyn Metro station in Arlington, VA. Fares, elevator status, and service alerts."
shady-grove,Shady Grove,Servicing Shady Grove & the I-270 corridor.,Shady Grove: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Shady Grove Metro station in Rockville, MD. Fares, elevator status, and service alerts."
shaw-howard-u,Shaw-Howard U,"Serving Howard University, the Shaw neighborhood & U Street corridor.",Shaw-Howard U: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals for Shaw-Howard U Metro station in Washington, DC. Live train times, fares, elevator status, and service alerts nearby."
silver-spring,Silver Spring,Servicing Downtown Silver Spring & the Fillmore.,Silver Spring: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Silver Spring Metro station in Silver Spring, MD. Fares, elevator status, and service alerts."
smithsonian,Smithsonian,Servicing the National Mall & Smithsonian museums.,Smithsonian: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Smithsonian Metro station in DC. Fares, elevator status, and alerts."
southern-ave,Southern Ave,Serving Southeast DC & Oxon Hill at the District line.,Southern Ave: Next Arrivals & Fares | NextMetro,"Green Line arrivals for Southern Ave Metro station in Oxon Hill, MD. Check real-time train fares, elevator and escalator status, and service alerts."
spring-hill,Spring Hill Metro Station,Silver Line · Serving Spring Hill & Tysons West.,Spring Hill: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Spring Hill Metro station in Tysons, VA. Fares, elevator status, and service alerts."
stadium-armory,Stadium-Armory,Servicing RFK Stadium & the DC Armory.,Stadium-Armory: Next Arrivals & Fares | NextMetro,"Orange, Blue, and Silver Line arrivals for Stadium-Armory Metro station in DC. Fares, elevator status, and alerts."
suitland,Suitland,Serving Suitland & the Suitland Federal Center.,Suitland: Next Arrivals & Fares | NextMetro,"Green Line arrivals for Suitland Metro station in Suitland, MD. Check real-time train fares, parking details, elevator status, and service alerts."
takoma,Takoma,Servicing Takoma & Takoma Park.,Takoma: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Takoma Metro station in Washington, DC. Live train times, fares, elevator status, and service alerts."
tenleytown-au,Tenleytown-AU,Servicing Tenleytown & American University.,Tenleytown-AU: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Tenleytown-AU Metro station in Washington, DC. Live train times, fares, elevator status, and alerts."
twinbrook,Twinbrook,Servicing Twinbrook & Rockville Pike corridor.,Twinbrook: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Twinbrook Metro station in Rockville, MD. Fares, elevator status, and service alerts."
tysons,Tysons Metro Station,Silver Line · Serving Tysons Corner Center & Tysons Galleria.,Tysons: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Tysons Metro station in Tysons, VA. Fares, elevator status, and service alerts."
u-street,U Street,"Serving the U Street corridor, 14th Street nightlife & Ben's Chili Bowl.",U Street: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals for U Street Metro station in Washington, DC. Real-time train times, fares, elevator and escalator status, and alerts."
union-station,Union Station,"Capitol Hill's transit hub — Amtrak, MARC, VRE & Metro Red Line.",Union Station: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Union Station Metro in DC. Fares, elevator status, and Amtrak/MARC/VRE connections."
van-dorn-street,Van Dorn Street,Servicing Van Dorn Street & Lincolnia.,Van Dorn Street: Next Arrivals & Fares | NextMetro,"Blue Line arrivals for Van Dorn Street Metro station in Alexandria, VA. Fares, parking, elevator status, and alerts."
van-ness-udc,Van Ness-UDC,Servicing Van Ness & University of the District of Columbia.,Van Ness-UDC: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Van Ness-UDC Metro station in Washington, DC. Live train times, fares, elevator status, and service alerts."
vienna,Vienna/Fairfax-GMU Metro Station,Orange Line · Serving Vienna & Fairfax. George Mason University access.,Vienna/Fairfax-GMU: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for Vienna/Fairfax-GMU Metro station in Fairfax, VA. Fares, elevator status, and service alerts."
virginia-square,Virginia Square-GMU Metro Station,Orange & Silver Lines · Serving Virginia Square & George Mason University.,Virginia Square-GMU: Next Arrivals & Fares | NextMetro,"Orange and Silver Line arrivals for Virginia Square-GMU Metro station in Arlington, VA. Fares, elevator status, and service alerts."
washington-dulles,Dulles Airport Metro Station,Silver Line · Serving Dulles International Airport (IAD).,Dulles Airport (IAD): Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Dulles Airport Metro station in Dulles, VA. Fares, elevator status, and service alerts."
waterfront,Waterfront,"Serving The Wharf, Arena Stage & Southwest Waterfront.",Waterfront: Next Arrivals & Fares | NextMetro,"Live Green Line arrivals for Waterfront Metro station near The Wharf in Southwest Washington, DC. Real-time fares, elevator status, and service alerts."
west-falls-church,West Falls Church Metro Station,Orange Line · Serving West Falls Church & the Merrifield area.,West Falls Church: Next Arrivals & Fares | NextMetro,"Orange Line arrivals for West Falls Church Metro station in Falls Church, VA. Fares, elevator status, and service alerts."
west-hyattsville,West Hyattsville,Serving West Hyattsville & Prince George's County.,West Hyattsville: Next Arrivals & Fares | NextMetro,"Green and Yellow Line arrivals for West Hyattsville Metro in Hyattsville, MD. Real-time fares, parking info, elevator status, and service alerts."
wheaton,Wheaton,Servicing Wheaton & Westfield Wheaton Mall.,Wheaton: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Wheaton Metro station in Wheaton, MD. Live train times, fares, parking, elevator status, and alerts."
wiehle-reston-east,Wiehle–Reston East Metro Station,Silver Line · Serving Wiehle–Reston East & the Reston corridor.,Wiehle-Reston East: Next Arrivals & Fares | NextMetro,"Silver Line arrivals for Wiehle–Reston East Metro station in Reston, VA. Fares, elevator status, and service alerts."
woodley-park,Woodley Park-Zoo/Adams Morgan,"Servicing Woodley Park, National Zoo & Adams Morgan.",Woodley Park: Next Arrivals & Fares | NextMetro,"Red Line arrivals for Woodley Park-Zoo/Adams Morgan Metro station in Washington, DC. Fares, elevator status, and service alerts."
